"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"DET","12-13","48","2252.45","2069","1793","276","53.57","55.11","47.76","1563","1368","195","53.33","41.63","36.44","1113","1025","88","52.06","29.65","27.3","74","67","7","52.48","1.97","1.78","84.7","76.98","7.72","52.39","2.26","2.05","152","162","10","4.05","4.32","6.65","93.46","4.73","95.1","5.42","94.37","-0.68","0.73","100.11","99.79","0.32"
"DAL","12-13","48","2233.57","1990","2084","-94","48.85","53.46","55.98","1409","1579","-170","47.16","37.85","42.42","972","1114","-142","46.6","26.11","29.93","92","92","--","50","2.47","2.47","79.14","91.93","-12.79","46.26","2.13","2.47","190","180","-10","5.1","4.84","9.47","91.74","6.53","94.17","5.62","94.18","0.91","--","101.21","99.79","1.41"
"COL","12-13","48","2287.02","2072","2171","-99","48.83","54.36","56.96","1525","1581","-56","49.1","40.01","41.48","1117","1130","-13","49.71","29.3","29.65","79","97","-18","44.89","2.07","2.54","80.91","86.53","-5.62","48.32","2.12","2.27","187","156","-31","4.91","4.09","7.07","91.42","5.18","93.86","5.31","94.53","-0.13","-0.66","98.49","99.83","-1.34"
"CHI","12-13","48","2300.8","2103","1783","320","54.12","54.84","46.5","1565","1286","279","54.89","40.81","33.54","1171","963","208","54.87","30.54","25.11","105","68","37","60.69","2.74","1.77","86.13","75.11","11.03","53.42","2.25","1.96","151","159","8","3.94","4.15","8.97","92.94","6.71","94.71","5.5","94.16","1.21","0.55","101.91","99.66","2.24"
"CAL","12-13","48","2305.28","1950","2164","-214","47.4","50.75","56.32","1447","1599","-152","47.5","37.66","41.62","1038","1128","-90","47.92","27.02","29.36","82","121","-39","40.39","2.13","3.15","83.09","90.97","-7.88","47.74","2.16","2.37","165","156","-9","4.29","4.06","7.9","89.27","5.67","92.43","5.74","94.31","-0.08","-1.88","97.17","100.05","-2.88"
"CBJ","12-13","48","2294.78","1811","2031","-220","47.14","47.35","53.1","1287","1530","-243","45.69","33.65","40","953","1130","-177","45.75","24.92","29.55","83","79","4","51.23","2.17","2.07","66.86","77.47","-10.61","46.33","1.75","2.03","188","181","-7","4.92","4.73","8.71","93.01","6.45","94.84","5.2","94.94","1.25","-0.1","101.72","100.13","1.59"
"CAR","12-13","48","2268.18","2337","2190","147","51.62","61.82","57.93","1712","1671","41","50.61","45.29","44.2","1208","1183","25","50.52","31.96","31.29","88","104","-16","45.83","2.33","2.75","96.2","103.77","-7.57","48.11","2.54","2.75","157","163","6","4.15","4.31","7.28","91.21","5.14","93.78","5.62","93.79","-0.48","-0.01","98.49","99.41","-0.92"
"BUF","12-13","48","2237.58","1811","2204","-393","45.11","48.56","59.1","1348","1664","-316","44.75","36.15","44.62","1000","1200","-200","45.45","26.81","32.18","80","89","-9","47.34","2.15","2.39","70.19","89.76","-19.57","43.88","1.88","2.41","185","185","--","4.96","4.96","8","92.58","5.93","94.65","5.21","94.61","0.73","0.05","100.58","99.81","0.77"
"BOS","12-13","48","2323.98","2391","2005","386","54.39","61.73","51.76","1751","1489","262","54.04","45.21","38.44","1258","1085","173","53.69","32.48","28.01","92","74","18","55.42","2.38","1.91","94.21","82.75","11.46","53.24","2.43","2.14","177","146","-31","4.57","3.77","7.31","93.18","5.25","95.03","5.38","94.44","-0.13","0.59","100.49","99.82","0.67"
"ARI","12-13","48","2265.42","2173","2117","56","50.65","57.55","56.07","1646","1597","49","50.76","43.59","42.3","1159","1145","14","50.3","30.7","30.33","86","81","5","51.5","2.28","2.15","84.2","87.15","-2.95","49.14","2.23","2.31","157","166","9","4.16","4.4","7.42","92.93","5.22","94.93","5.12","94.54","0.11","0.39","100.35","99.66","0.69"
"ANA","12-13","48","2319.8","1970","2140","-170","47.93","50.95","55.35","1444","1530","-86","48.55","37.35","39.57","1036","1030","6","50.15","26.8","26.64","89","72","17","55.28","2.3","1.86","81.87","81.65","0.22","50.07","2.12","2.11","162","137","-25","4.19","3.54","8.59","93.01","6.16","95.29","5.67","94.66","0.49","0.63","101.6","100.33","1.27"
